inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;;inf-norm-Clever-5-samples;;inf-norm-Clever-20-samples;;inf-norm-Clever-100-samples;;inf-norm-Clever-1024-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;;2-norm-Clever-5-samples;;2-norm-Clever-20-samples;;2-norm-Clever-100-samples;;2-norm-Clever-1024-samples;1-norm-min-adv-dist;1-norm-PGD-dist;1-norm-sec-att-dist;1-norm-Clever-5-samples;1-norm-Clever-20-samples;1-norm-Clever-100-samples;;1-norm-Clever-1024-samples
0,0014999509;0,0014999509;0,0076684356;1;0,0015;1;0,0015;0;0,0014;0;0,001;0,0419;0,0449;0,0419;0;0,0042;0;0,0336;0;0,0007;0;0,0043;0,5776;1,3987;0,5776;0,0005;0,0027;0,0047;0;0,1558
0,0015000254;0,0015000254;0,0071095526;0;0,0012;0;0,0012;0;0,001;0;0,0009;0,0425;0,045;0,0425;0;0,0358;0;0,001;0;0,0293;0;0,0289;0,6015;2,3739;0,6015;0,2281;0,0033;0,1807;0;0,0018
0,0015000254;0,0015000254;0,0075091422;0;0,0011;0;0,001;0;0,001;0;0,001;0,0445;0,0445;0,0519;0;0,0264;0;0,0213;0;0,0227;0;0,0215;0,7347;2,7724;0,7347;0,0063;0,0088;0,0014;0;0,0036
0,0015000254;0,0015000254;0,0077017695;0;0,001;0;0,001;0;0,0009;0;0,0009;0,045;0,0499;0,045;1;0,0579;1;0,0475;0;0,0406;0;0,0337;0,7407;2,5902;0,7407;0,3511;0,0041;0,325;0;0,2359
0,0015000254;0,0015000254;0,0072312951;0;0,0008;0;0,0008;0;0,0008;0;0,0007;0,0522;0,0549;0,0522;1;0,0584;0;0,0488;0;0,0057;0;0,0015;0,7512;2,3846;0,7512;0,0024;0,018;0,2497;0;0,0032
0,0015000254;0,0015000254;0,0087352395;1;0,0016;0;0,0015;0;0,0014;0;0,0012;0,0546;0,0546;0,0554;1;0,0601;1;0,0553;0;0,0014;0;0,0468;0,7653;2,3899;0,7653;0,0014;0,0035;0,0019;0;0,0057
0,0018000305;0,0018000305;0,0145867765;1;0,0019;1;0,0019;0;0,0015;0;0,0014;0,0548;0,0548;0,0554;0;0,0027;0;0,003;0;0,0009;0;0,0334;0,7697;1,5974;0,7697;0,0029;0,0013;0,0022;0;0,0031
0,0018000305;0,0018000305;0,0104968101;1;0,0024;1;0,0019;0;0,0016;0;0,0015;0,0572;0,0599;0,0572;0;0,0031;0;0,0014;0;0,0025;0;0,0463;0,7968;2,589;0,7968;0,0006;0,0025;0,0012;0;0,0033
0,0018000305;0,0018000305;0,009134829;0;0,0018;0;0,0017;0;0,0016;0;0,0015;0,058;0,0646;0,058;1;0,0613;0;0,0462;0;0,0436;0;0,0418;0,8803;2,1936;0,8803;0,3112;0,0079;0,001;0;0,0029
0,0018000305;0,0018000305;0,0105645657;0;0,0016;0;0,0013;0;0,0012;0;0,0012;0,0597;0,0597;0,0648;0;0,0066;1;0,0636;0;0,0556;0;0,0007;0,8853;2,1323;0,8853;0,0082;0,0033;0,0022;0;0,0013
